om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
613211,2016,01,08,2016-01-08,16:48:00,3,LA,22,0,0.88,0,0,0,0,30.2000,-93.5800,30.2000,-93.5800,0,0,0,0,0,19,0,0,0
613212,2016,01,08,2016-01-08,17:57:00,3,TX,48,0,1.00,0,0,0,0,31.5866,-94.6765,31.5866,-94.6765,0,0,0,0,0,347,0,0,0
613213,2016,01,08,2016-01-08,18:00:00,3,TX,48,0,0.75,0,0,0,0,31.4086,-94.7236,31.4086,-94.7236,0,0,0,0,0,5,0,0,0
613214,2016,01,08,2016-01-08,18:00:00,3,TX,48,0,2.50,0,0,10000,0,30.6400,-95.4700,30.6400,-95.4700,0,0,0,0,0,471,0,0,0
613215,2016,01,08,2016-01-08,18:00:00,3,TX,48,0,1.25,0,0,5000,0,30.6800,-95.5500,30.6800,-95.5500,0,0,0,0,0,471,0,0,0
613216,2016,01,08,2016-01-08,18:03:00,3,TX,48,0,1.75,0,0,7000,0,30.6600,-95.5300,30.6600,-95.5300,0,0,0,0,0,471,0,0,0
613217,2016,01,08,2016-01-08,18:27:00,3,TX,48,0,1.75,0,0,7000,0,30.7480,-95.2194,30.7480,-95.2194,0,0,0,0,0,407,0,0,0
613218,2016,01,08,2016-01-08,18:32:00,3,TX,48,0,1.00,0,0,3000,0,29.9400,-94.8000,29.9400,-94.8000,0,0,0,0,0,291,0,0,0
613219,2016,01,08,2016-01-08,18:55:00,3,TX,48,0,1.75,0,0,5000,0,30.8188,-94.8719,30.8188,-94.8719,0,0,0,0,0,373,0,0,0
613220,2016,01,08,2016-01-08,19:00:00,3,TX,48,0,1.00,0,0,0,0,30.2600,-94.2000,30.2600,-94.2000,0,0,0,0,0,199,0,0,0
613221,2016,01,08,2016-01-08,19:09:00,3,TX,48,0,1.75,0,0,6000,0,29.6900,-95.4600,29.6900,-95.4600,0,0,0,0,0,201,0,0,0
613222,2016,01,08,2016-01-08,19:12:00,3,TX,48,0,2.50,0,0,15000,0,29.7000,-95.4600,29.7000,-95.4600,0,0,0,0,0,201,0,0,0
613223,2016,01,08,2016-01-08,19:19:00,3,TX,48,0,1.75,0,0,5000,0,29.7158,-95.4760,29.7158,-95.4760,0,0,0,0,0,201,0,0,0
613224,2016,01,08,2016-01-08,19:31:00,3,TX,48,0,1.00,0,0,5000,0,29.7700,-95.3900,29.7700,-95.3900,0,0,0,0,0,201,0,0,0
613225,2016,01,08,2016-01-08,19:32:00,3,TX,48,0,1.50,0,0,0,0,30.4400,-93.9600,30.4400,-93.9600,0,0,0,0,0,241,0,0,0
613226,2016,01,08,2016-01-08,19:35:00,3,LA,22,0,1.25,0,0,0,0,32.1200,-93.8300,32.1200,-93.8300,0,0,0,0,0,31,0,0,0
613227,2016,01,08,2016-01-08,20:10:00,3,TX,48,0,0.75,0,0,0,0,29.4000,-95.0300,29.4000,-95.0300,0,0,0,0,0,167,0,0,0
613228,2016,01,08,2016-01-08,20:10:00,3,LA,22,0,1.50,0,0,0,0,30.5900,-92.6500,30.5900,-92.6500,0,0,0,0,0,3,0,0,0
613229,2016,01,08,2016-01-08,20:50:00,3,LA,22,0,0.75,0,0,0,0,32.6300,-92.4100,32.6300,-92.4100,0,0,0,0,0,61,0,0,0
613230,2016,01,08,2016-01-08,21:06:00,3,LA,22,0,0.88,0,0,0,0,32.7700,-92.4000,32.7700,-92.4000,0,0,0,0,0,111,0,0,0
613231,2016,01,08,2016-01-08,21:15:00,3,LA,22,0,1.50,0,0,0,0,30.5300,-93.5700,30.5300,-93.5700,0,0,0,0,0,11,0,0,0
613232,2016,01,08,2016-01-08,21:40:00,3,AR,05,0,0.88,0,0,0,0,33.8100,-93.2800,33.8100,-93.2800,0,0,0,0,0,99,0,0,0
613233,2016,01,08,2016-01-08,21:45:00,3,TX,48,0,1.25,0,0,0,0,29.9000,-93.9300,29.9000,-93.9300,0,0,0,0,0,245,0,0,0
613234,2016,01,08,2016-01-08,22:22:00,3,LA,22,0,0.88,0,0,0,0,30.2500,-93.2600,30.2500,-93.2600,0,0,0,0,0,19,0,0,0
613235,2016,01,08,2016-01-08,23:09:00,3,AR,05,0,1.00,0,0,0,0,34.5062,-93.6256,34.5062,-93.6256,0,0,0,0,0,97,0,0,0
613236,2016,01,09,2016-01-09,00:00:00,3,TX,48,0,0.75,0,0,0,0,30.1900,-97.2900,30.1900,-97.2900,0,0,0,0,0,21,0,0,0
613237,2016,01,09,2016-01-09,00:05:00,3,LA,22,0,1.00,0,0,0,0,30.6000,-92.0800,30.6000,-92.0800,0,0,0,0,0,97,0,0,0
613238,2016,01,09,2016-01-09,00:45:00,3,TX,48,0,1.00,0,0,1000,0,30.4596,-96.5543,30.4596,-96.5543,0,0,0,0,0,51,0,0,0
613239,2016,01,09,2016-01-09,01:03:00,3,MS,28,0,1.00,0,0,0,0,34.0900,-90.7200,34.0900,-90.7200,0,0,0,0,0,11,0,0,0
613240,2016,01,09,2016-01-09,03:15:00,3,TN,47,0,1.00,0,0,0,0,35.5700,-89.7800,35.5700,-89.7800,0,0,0,0,0,167,0,0,0
613241,2016,01,21,2016-01-21,04:10:00,3,TX,48,0,1.75,0,0,0,0,31.8241,-94.4908,31.8241,-94.4908,0,0,0,0,0,347,0,0,0
613242,2016,01,21,2016-01-21,04:30:00,3,TX,48,0,1.00,0,0,0,0,31.9062,-94.3988,31.9062,-94.3988,0,0,0,0,0,419,0,0,0
613243,2016,01,21,2016-01-21,05:12:00,3,LA,22,0,1.00,0,0,0,0,31.1400,-93.2700,31.1400,-93.2700,0,0,0,0,0,115,0,0,0
613244,2016,01,21,2016-01-21,05:14:00,3,LA,22,0,1.75,0,0,0,0,31.1400,-93.2700,31.1400,-93.2700,0,0,0,0,0,115,0,0,0
613245,2016,01,21,2016-01-21,06:00:00,3,LA,22,0,0.75,0,0,0,0,32.0843,-93.8095,32.0843,-93.8095,0,0,0,0,0,31,0,0,0
613246,2016,01,21,2016-01-21,06:35:00,3,TX,48,0,0.75,0,0,0,0,32.4888,-95.4566,32.4888,-95.4566,0,0,0,0,0,423,0,0,0
613247,2016,01,21,2016-01-21,06:52:00,3,LA,22,0,1.00,0,0,0,0,32.1774,-93.3023,32.1774,-93.3023,0,0,0,0,0,81,0,0,0
613248,2016,01,21,2016-01-21,07:10:00,3,LA,22,0,0.88,0,0,0,0,32.2409,-92.7113,32.2409,-92.7113,0,0,0,0,0,49,0,0,0
613249,2016,01,21,2016-01-21,07:29:00,3,LA,22,0,1.00,0,0,0,0,31.8500,-91.6600,31.8500,-91.6600,0,0,0,0,0,25,0,0,0
613250,2016,01,21,2016-01-21,08:11:00,3,MS,28,0,1.00,0,0,0,0,31.7169,-91.0724,31.7169,-91.0724,0,0,0,0,0,63,0,0,0
613251,2016,01,21,2016-01-21,10:07:00,3,TX,48,0,0.88,0,0,0,0,32.8300,-96.4500,32.8300,-96.4500,0,0,0,0,0,397,0,0,0
613252,2016,01,21,2016-01-21,10:15:00,3,LA,22,0,0.88,0,0,0,0,32.3700,-90.8900,32.3713,-90.8765,0,0,0,0,0,65,0,0,0
613253,2016,01,21,2016-01-21,10:18:00,3,TX,48,0,0.75,0,0,0,0,32.9000,-96.3500,32.9000,-96.3500,0,0,0,0,0,397,0,0,0
613254,2016,01,21,2016-01-21,10:28:00,3,MS,28,0,0.88,0,0,0,0,32.4800,-90.8000,32.5397,-90.6497,0,0,0,0,0,149,0,0,0
613255,2016,01,21,2016-01-21,10:45:00,3,TX,48,0,0.75,0,0,0,0,33.0700,-96.0700,33.0700,-96.0700,0,0,0,0,0,231,0,0,0
613256,2016,01,21,2016-01-21,11:32:00,3,TX,48,0,1.00,0,0,0,0,31.6519,-94.6559,31.6519,-94.6559,0,0,0,0,0,347,0,0,0
613257,2016,01,21,2016-01-21,12:30:00,3,LA,22,0,0.75,0,0,0,0,32.0148,-93.3409,32.0148,-93.3409,0,0,0,0,0,81,0,0,0
613258,2016,01,21,2016-01-21,12:50:00,3,TX,48,0,0.75,0,0,0,0,30.5900,-93.9200,30.5900,-93.9200,0,0,0,0,0,241,0,0,0
613259,2016,01,21,2016-01-21,13:05:00,3,TX,48,0,1.75,0,0,0,0,30.7300,-93.6600,30.7300,-93.6600,0,0,0,0,0,351,0,0,0
613260,2016,01,21,2016-01-21,13:45:00,3,LA,22,0,2.00,0,0,0,0,30.8300,-93.2900,30.8300,-93.2900,0,0,0,0,0,11,0,0,0
613261,2016,01,21,2016-01-21,14:23:00,3,LA,22,0,1.00,0,0,0,0,30.9400,-92.9400,30.9400,-92.9400,0,0,0,0,0,115,0,0,0
613262,2016,01,21,2016-01-21,14:30:00,3,MS,28,0,1.00,0,0,0,0,32.8600,-90.4100,32.8600,-90.4100,0,0,0,0,0,163,0,0,0
613263,2016,01,21,2016-01-21,14:30:00,3,LA,22,0,1.25,0,0,0,0,31.0600,-92.0500,31.0600,-92.0500,0,0,0,0,0,9,0,0,0
613264,2016,01,21,2016-01-21,14:30:00,3,LA,22,0,1.00,0,0,0,0,30.8500,-93.2900,30.8500,-93.2900,0,0,0,0,0,11,0,0,0
613265,2016,01,21,2016-01-21,14:44:00,3,LA,22,0,1.25,0,0,0,0,31.1100,-91.9100,31.1100,-91.9100,0,0,0,0,0,9,0,0,0
613266,2016,01,21,2016-01-21,14:45:00,3,LA,22,0,1.00,0,0,0,0,31.1300,-92.0600,31.1300,-92.0600,0,0,0,0,0,9,0,0,0
613267,2016,01,21,2016-01-21,14:51:00,3,LA,22,0,1.00,0,0,0,0,31.6200,-91.8300,31.6200,-91.8300,0,0,0,0,0,25,0,0,0
613268,2016,01,21,2016-01-21,14:52:00,3,LA,22,0,1.25,0,0,0,0,30.9700,-92.5800,30.9700,-92.5800,0,0,0,0,0,79,0,0,0
613269,2016,01,21,2016-01-21,15:20:00,3,MS,28,0,0.88,0,0,0,0,31.5500,-91.3900,31.5500,-91.3900,0,0,0,0,0,1,0,0,0
613270,2016,01,21,2016-01-21,15:35:00,3,MS,28,0,1.00,0,0,0,0,32.3400,-90.3900,32.3400,-90.3900,0,0,0,0,0,49,0,0,0
613271,2016,01,21,2016-01-21,15:55:00,3,MS,28,0,1.75,0,0,100,0,31.5411,-90.8722,31.5411,-90.8722,0,0,0,0,0,37,0,0,0
613272,2016,01,21,2016-01-21,15:56:00,3,MS,28,0,1.00,0,0,1000,0,32.4900,-89.4900,32.5774,-89.4038,0,0,0,0,0,123,0,0,0
613273,2016,01,21,2016-01-21,16:02:00,3,MS,28,0,1.00,0,0,6000,0,32.0000,-90.3600,32.0000,-90.3600,0,0,0,0,0,29,0,0,0
613274,2016,01,21,2016-01-21,16:05:00,3,MS,28,0,1.00,0,0,0,0,32.4000,-90.1800,32.4000,-90.1800,0,0,0,0,0,49,0,0,0
613275,2016,01,21,2016-01-21,16:10:00,3,MS,28,0,1.00,0,0,0,0,31.6700,-90.6600,31.6700,-90.6600,0,0,0,0,0,85,0,0,0
613276,2016,01,21,2016-01-21,16:10:00,3,MS,28,0,1.50,0,0,1500,0,32.6000,-89.4100,32.6295,-89.3263,0,0,0,0,0,79,0,0,0
613277,2016,01,21,2016-01-21,16:55:00,3,LA,22,0,1.00,0,0,0,0,30.7200,-91.1500,30.7200,-91.1500,0,0,0,0,0,37,0,0,0
613278,2016,01,21,2016-01-21,17:15:00,3,MS,28,0,1.00,0,0,0,0,31.7936,-90.1594,31.7936,-90.1594,0,0,0,0,0,29,0,0,0
613279,2016,01,21,2016-01-21,17:15:00,3,MS,28,0,1.00,0,0,0,0,31.6800,-90.3400,31.6939,-90.3293,0,0,0,0,0,85,0,0,0
613280,2016,01,21,2016-01-21,17:31:00,3,MS,28,0,1.00,0,0,0,0,32.8000,-89.1100,32.8000,-89.1100,0,0,0,0,0,99,0,0,0
613281,2016,01,21,2016-01-21,17:40:00,3,LA,22,0,0.75,0,0,0,0,30.4100,-91.4400,30.4100,-91.4400,0,0,0,0,0,47,0,0,0
613282,2016,01,21,2016-01-21,17:45:00,3,LA,22,0,1.75,0,0,0,0,30.7200,-90.4495,30.7200,-90.4495,0,0,0,0,0,105,0,0,0
613283,2016,01,21,2016-01-21,17:54:00,3,LA,22,0,2.00,0,0,0,0,30.7300,-90.3400,30.7300,-90.3400,0,0,0,0,0,105,0,0,0
613284,2016,01,21,2016-01-21,17:55:00,3,LA,22,0,2.75,0,0,0,0,30.8100,-90.3600,30.8100,-90.3600,0,0,0,0,0,105,0,0,0
613285,2016,01,21,2016-01-21,18:03:00,3,LA,22,0,1.00,0,0,0,0,30.8900,-90.4700,30.8900,-90.4700,0,0,0,0,0,105,0,0,0
613286,2016,01,21,2016-01-21,18:05:00,3,LA,22,0,1.75,0,0,0,0,30.8500,-90.1500,30.8500,-90.1500,0,0,0,0,0,117,0,0,0
613287,2016,01,21,2016-01-21,18:15:00,3,MS,28,0,1.00,0,0,0,0,32.0291,-89.5310,32.0291,-89.5310,0,0,0,0,0,129,0,0,0
613288,2016,01,21,2016-01-21,18:40:00,3,MS,28,0,1.25,0,0,0,0,31.3400,-89.7000,31.3400,-89.7000,0,0,0,0,0,91,0,0,0
613289,2016,01,23,2016-01-23,08:19:00,3,CA,06,0,1.00,0,0,30000,0,39.9566,-122.1996,40.0000,-122.2057,0,0,0,0,0,103,0,0,0
613290,2016,01,23,2016-01-23,08:20:00,3,CA,06,0,1.00,0,0,0,0,40.0000,-122.2057,40.0832,-122.2160,0,0,0,0,0,103,0,0,0
613291,2016,01,23,2016-01-23,17:05:00,3,CA,06,0,3.00,0,0,0,0,40.0800,-122.2700,40.0800,-122.2700,0,0,0,0,0,103,0,0,0
613292,2016,01,23,2016-01-23,17:15:00,3,CA,06,0,0.75,0,0,0,0,39.9700,-122.1800,39.9700,-122.1800,0,0,0,0,0,103,0,0,0
613293,2016,01,23,2016-01-23,18:15:00,3,CA,06,0,1.00,0,0,0,0,39.9300,-122.1700,39.9300,-122.1700,0,0,0,0,0,103,0,0,0
